12/13/2023 3:54:32 PM	"MAC Address"	"Vendor"	"SSID"	"Access Point Name"	"Connected AP"	"Signal Strength"	"Quality"	"Station Count"	"Frequency"	"Position"	"Info"	"Adapter"
12/13/2023 3:54:33 PM	D0:4D:C6:F2:9D:F0	""	"eduroam"	""	""	-77	46	"3"	"Ch 108 [5.540 GHz]"	""	"3 Stations, 69% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	D0:4D:C6:F2:CE:B2	""	"TUD-facility"	""	""	-83	31	"0"	"Ch 64 [5.320 GHz]"	""	"0 Stations, 4% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	D0:4D:C6:F2:CE:B0	""	"eduroam"	""	""	-82	33	"1"	"Ch 64 [5.320 GHz]"	""	"1 Station, 4% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	D0:4D:C6:F2:61:22	""	"TUD-facility"	""	""	-55	85	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 34% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	1C:28:AF:66:28:12	""	"TUD-facility"	""	""	-81	35	"0"	"Ch 153 [5.765 GHz]"	""	"0 Stations, 1% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	1C:28:AF:66:28:11	""	"tudelft-dastud"	""	""	-81	35	"0"	"Ch 153 [5.765 GHz]"	""	"0 Stations, 1% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	1C:28:AF:66:28:10	""	"eduroam"	""	""	-81	35	"1"	"Ch 153 [5.765 GHz]"	""	"1 Station, 1% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	1C:28:AF:65:FE:12	""	"TUD-facility"	""	""	-84	29	"0"	"Ch 140 [5.700 GHz]"	""	"0 Stations, 1% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	D0:4D:C6:F2:61:20	""	"eduroam"	""	""	-56	85	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 34% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	1C:28:AF:5B:E5:52	""	"TUD-facility"	""	""	-73	60	"0"	"Ch 44 [5.220 GHz]"	""	"0 Stations, 16% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	1C:28:AF:62:11:F2	""	"TUD-facility"	""	""	-70	67	"0"	"Ch 44 [5.220 GHz]"	""	"0 Stations, 8% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	D0:4D:C6:F2:CE:B1	""	"tudelft-dastud"	""	""	-82	33	"1"	"Ch 64 [5.320 GHz]"	""	"1 Station, 4% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	D0:4D:C6:F2:71:12	""	"TUD-facility"	""	""	-86	24	"0"	"Ch 36 [5.180 GHz]"	""	"0 Stations, 11% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	1C:28:AF:62:01:D2	""	"TUD-facility"	""	""	-71	65	"0"	"Ch 36 [5.180 GHz]"	""	"0 Stations, 13% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	1C:28:AF:5C:09:60	""	"eduroam"	""	""	-52	87	"1"	"Ch 1 [2.412 GHz]"	""	"1 Station, 40% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	1C:28:AF:5C:09:72	""	"TUD-facility"	""	""	-51	87	"0"	"Ch 52 [5.260 GHz]"	""	"0 Stations, 4% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	D0:4D:C6:F2:71:11	""	"tudelft-dastud"	""	""	-86	24	"0"	"Ch 36 [5.180 GHz]"	""	"0 Stations, 11% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	1C:28:AF:66:11:C0	""	"eduroam"	""	""	-76	50	"1"	"Ch 1 [2.412 GHz]"	""	"1 Station, 10% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	D0:4D:C6:F2:C5:D0	""	"eduroam"	""	""	-84	29	"2"	"Ch 108 [5.540 GHz]"	""	"2 Stations, 2% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	1C:28:AF:62:11:F0	""	"eduroam"	""	""	-74	57	"14"	"Ch 44 [5.220 GHz]"	""	"14 Stations, 11% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
12/13/2023 3:54:33 PM	D0:4D:C6:F2:61:32	""	"TUD-facility"	""	""	-61	82	"0"	"Ch 136 [5.680 GHz]"	""	"0 Stations, 2% Channel Utilization"	"Wi-Fi [Intel(R) Wireless-AC 9560 160MHz]"
